Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness,Date
Chasing Cars,Snow Patrol,5,0b7ZVrQN7y98ZrzUQFIPlR,7.0,0.9790000000000001,0.718,0.0882,0.107,0.0562,0.2,110.18,0.927,-19.957,2006-05-31
Cheatin',Sara Evans,69,,,,,,,,,,,,2006-01-25
Check On It,Beyonce Featuring Slim Thug,1,,,,,,,,,,,,2005-11-16
Check Yes Juliet (Run Baby Run),WE the Kings,92,,,,,,,,,,,,2008-07-23
Chemicals React,Aly & AJ,50,1QR1tzEx6k6qH42SL4YUR6,1.0,0.00246,0.605,0.7440000000000001,0.0901,0.0433,0.39399999999999996,133.019,0.0,-8.742,2006-09-27
Chicken Noodle Soup.,Webstar & Young B Featuring The Voice Of Harlem,45,,,,,,,,,,,,2006-09-20
Chicks Dig It,Chris Cagle,53,1OPy6WJFWIJrvlZrEq8Ua2,0.0,0.000177,0.474,0.736,0.11,0.0341,0.619,104.03399999999999,0.414,-8.627,2003-10-29
Ching-A-Ling,Missy Elliott,60,4RT5ZbEbMX6viFFEHxFyGu,1.0,0.00571,0.805,0.484,0.305,0.0461,0.0547,101.97200000000001,0.48700000000000004,-15.335999999999999,2008-02-13
Chop Suey,System Of A Down,76,1g7lPwxyKBg59Oh0RLA2qa,13.0,0.000118,0.34299999999999997,0.7929999999999999,0.0707,0.0511,0.187,127.291,4.54e-05,-8.4,2002-01-02
Choppa Style,Choppa Featuring Master P,94,,,,,,,,,,,,2003-03-05
Chrome,Trace Adkins,74,3O2PZPgHhxSfOAQFo37PMp,12.0,0.115,0.57,0.634,0.0807,0.0279,0.568,99.854,0.0099,-10.915,2003-02-26
Circle,Marques Houston,78,04fqvN1pD4lyyJCtYi1ogf,1.0,0.0885,0.675,0.41100000000000003,0.128,0.0431,0.8540000000000001,127.999,0.8859999999999999,-16.926,2007-03-07
Citizen/Soldier,3 Doors Down,96,3EZjiRyAbW1U7ov9Y8VAlW,0.0,0.00406,0.6890000000000001,0.502,0.10099999999999999,0.0251,0.435,96.99,0.183,-12.902000000000001,2008-01-09
Clap Back,Ja Rule,44,4EVhdinbP6SWfRmojzCa8z,0.0,0.0033200000000000005,0.524,0.579,0.11,0.252,0.9620000000000001,96.95299999999999,0.907,-8.749,2003-10-22
Class Reunion (That Used To Be Us),Lonestar,97,6fSWoIj9iIL1pjArz1vNxc,0.0,0.0915,0.6990000000000001,0.748,0.0817,0.027999999999999997,0.7509999999999999,117.01299999999999,0.036000000000000004,-7.736000000000001,2005-04-27
Cleanin' Out My Closet,Eminem,4,2HTa7CZcG7FVTMmyZR4eaL,0.0,0.0905,0.8909999999999999,0.6990000000000001,0.16699999999999998,0.0508,0.965,147.997,0.0,-9.519,2002-07-31
Cleaning This Gun (Come On In Boy),Rodney Atkins,40,0W3mSqgYxclZHzpQjSQ1id,0.0,0.0131,0.6459999999999999,0.467,0.0861,0.0282,0.297,146.07299999999998,0.00374,-11.315999999999999,2007-12-12
Clocks,Coldplay,29,4aNSSIfUIHPH74984mdw3r,26.0,0.5710000000000001,0.575,0.75,0.185,0.027999999999999997,0.272,130.99,0.012,-7.261,2003-01-29
Closer,Ne-Yo,14,0Cxxk1hicEJXyZfKXMXYKP,9.0,0.185,0.596,0.812,0.327,0.0275,0.602,100.984,2.01e-06,-6.275,2008-04-30
Clothes Off!!,Gym Class Heroes,46,0yWWNN5goCWMaY6P48HmDw,0.0,0.0066099999999999996,0.8140000000000001,0.513,0.0892,0.0358,0.67,114.976,0.000297,-7.039,2007-08-29
Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,39,,,,,,,,,,,,2003-09-03
Clumsy,Fergie,5,0eykEy12m5c4qDFatvmywg,4.0,0.0348,0.708,0.633,0.314,0.27399999999999997,0.767,91.9,0.0,-5.62,2007-10-24
Cochise,Audioslave,69,3X6WnjC9fcAq5zYWVf34sN,0.0,8.540000000000002e-05,0.478,0.721,0.275,0.0676,0.366,80.941,0.529,-8.788,2002-11-20
Coconut Juice,Tyga Featuring Travis McCoy,94,,,,,,,,,,,,2008-06-25
Coffee Shop,Yung Joc Featuring Gorilla Zoe,78,,,,,,,,,,,,2007-09-12
Cold Hard Bitch,Jet,55,7KTQogDjYAO79ZcPHofKXu,1.0,0.253,0.711,0.873,0.113,0.0372,0.5579999999999999,133.971,0.0401,-5.9879999999999995,2004-03-31
Cold,Crossfade,81,0W6EVOZrquJWTYpdo6sL9R,5.0,0.946,0.555,0.358,0.305,0.0319,0.579,147.922,0.836,-11.337,2004-08-04
Collide,Howie Day,20,2BoQScDqfDdjIjVw1FE0zH,0.0,0.0725,0.615,0.445,0.375,0.0258,0.20800000000000002,93.976,0.185,-11.817,2005-02-09
Come A Little Closer,Dierks Bentley,31,00Txn4iZ8pDkHfTTqTjjTC,0.0,0.19,0.631,0.444,0.0872,0.0259,0.33399999999999996,79.49600000000001,0.000323,-9.432,2005-09-21
Come Back To Me,Vanessa Hudgens,55,,,,,,,,,,,,2006-09-27
Come Clean,Hilary Duff,35,0T5aiBkaaYsrVfdyCM1tff,1.0,0.00277,0.5379999999999999,0.725,0.136,0.0633,0.5589999999999999,118.04700000000001,1.06e-06,-9.168,2004-02-25
Come Close To Me,Common Featuring Mary J. Blige,65,,,,,,,,,,,,2002-12-18
Come Home Soon,SHeDAISY,75,2Y4hzxCpRlHia7UwBMlb54,0.0,0.17800000000000002,0.578,0.431,0.13699999999999998,0.0261,0.235,91.95200000000001,0.0379,-11.597000000000001,2004-12-08
Come Into My World,Kylie Minogue,91,6QEDi139vIRKPnyXKt1cEH,19.0,0.0294,0.603,0.835,0.0906,0.0282,0.8220000000000001,124.994,0.149,-7.303,2002-12-11
Come On Over,Jessica Simpson,65,27jdXLJCzMJrgA75nSz6eS,0.0,0.0208,0.674,0.499,0.139,0.0254,0.445,109.993,0.0657,-10.343,2008-07-09
Come Over,Aaliyah,32,,,,,,,,,,,,2003-06-11
Come To Me,Diddy Featuring Nicole Scherzinger,9,,,,,,,,,,,,2006-09-13
Comin' To Your City,Big & Rich,72,6ZUXCHeuyNg75GjayBeoUa,20.0,0.258,0.5589999999999999,0.9440000000000001,0.165,0.085,0.66,99.027,0.0,-1.422,2005-11-30
Coming Undone,Korn,79,5ANsZO7MGmo977pmxPWk0P,0.0,0.0011,0.588,0.649,0.0387,0.0326,0.594,150.09,0.0,-4.882,2006-07-05
Complicated,Avril Lavigne,2,2wx8rUqTdiWnAidnVtSH2k,0.0,0.237,0.66,0.265,0.21899999999999997,0.14800000000000002,0.46399999999999997,156.285,0.0,-17.563,2002-05-29
Conceited (There's Something About Remy),Remy Ma,90,2xfhBHrwX64GNASnW2Q5uT,0.0,0.924,0.885,0.41,0.0983,0.16,0.873,99.507,0.7040000000000001,-9.067,2006-03-29
Concrete Angel,Martina McBride,47,0NDlzPPmurkVKF1uJ56DOd,0.0,0.4,0.585,0.191,0.075,0.0277,0.257,76.967,0.0,-14.982000000000001,2003-03-12
Confessions Of A Broken Heart (Daughter To Father),Lindsay Lohan,57,0x7663BmBYv7m1ejUzXHfd,42.0,0.0308,0.57,0.738,0.0885,0.0336,0.159,120.061,0.0,-4.093,2005-11-23
Confessions Part II,Usher,1,1CMKPsB01UL6KKFTlcrdCK,0.0,0.0191,0.764,0.539,0.121,0.0629,0.86,138.086,2.98e-05,-8.302,2004-04-28
Control Myself,LL Cool J Featuring Jennifer Lopez,4,,,,,,,,,,,,2006-03-08
Coo-Coo Chee,Ric-A-Che Featuring Darija,97,,,,,,,,,,,,2004-06-23
Cool,Gwen Stefani,13,5xrKeDb84zoQ7aHrPepL9T,0.0,0.0356,0.747,0.626,0.28800000000000003,0.0362,0.9640000000000001,111.965,0.946,-6.482,2005-07-13
Cop That Sh#!,Timbaland & Magoo Featuring Missy Elliott,95,,,,,,,,,,,,2003-08-20
Corona And Lime,Shwayze,26,0T3QPdB8MHe0jTH3ImNHba,15.0,0.18899999999999997,0.8640000000000001,0.772,0.146,0.0821,0.88,99.98899999999999,0.0,-4.947,2008-08-06
