Artist,Song,WeeksAtNumberOne,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
Janet Jackson,"""Escapade""",3,6wXCnPlxok3TrWMTrrgF8c,0.0,0.00107,0.809,0.522,0.0579,0.0488,0.695,116.082,0.00932,-12.804
Whitney Houston,"""Exhale (Shoop Shoop)""",1,1rxKbX6FltooQGCqbKMrUZ,0.0,0.725,0.586,0.224,0.126,0.0321,0.3,130.277,0,-17.463
Mariah Carey,"""Fantasy""",8,1ApbvqxFVEvb9YVmh0f1Nv,26.0,0.00718,0.724,0.73,0.64,0.0415,0.557,124.045,0.0255,-8.836
Silk,"""Freak Me""",2,7nNgdxVEVhCTsqa7mECCL9,14.0,0.0295,0.697,0.608,0.276,0.0463,0.725,133.879,0,-10.976
CoolioÂ featuringÂ L.V.,"""Gangsta's Paradise""?Â (1995)",3,,,,,,,,,,,
Christina Aguilera,"""Genie In A Bottle""",5,4J6aneNvUqVmY8H1kQbKQT,9.0,0.057,0.624,0.735,0.101,0.111,0.955,197.956,0.0241,-7.681
Will Smith,"""Gettin' Jiggy Wit It""",3,6186fskR1dqTW8lJL689ph,0.0,0.141,0.766,0.424,0.0555,0.0449,0.89,109.997,0.862,-15.392
C+C Music FactoryÂ featuringÂ Freedom Williams,"""Gonna Make You Sweat (Everybody Dance Now)""",2,,,,,,,,,,,
Marky Mark & the Funky BunchÂ featuringÂ Loleatta Holloway,"""Good Vibrations""",1,,,,,,,,,,,
Bryan Adams,"""Have You Ever Really Loved A Woman""",5,5SV7Gm5KZgRCH36sod9LjW,11.0,0.0302,0.552,0.549,0.112,0.0273,0.248,156.162,3.95e-06,-7.285
Brandy,"""Have You Ever""",2,2S5i3invYsGfFJDFqIRtRq,4.0,0.542,0.698,0.533,0.333,0.0437,0.275,134.001,0,-6.246
Mariah CareyÂ featuringÂ Jay-Z,"""Heartbreaker""",2,,,,,,,,,,,
Ini Kamoze,"""Here Comes The Hotstepper""",2,69tPuYaoS4e3XrMQkOqG5O,18.0,0.0368,0.635,0.641,0.0642,0.0418,0.909,173.197,0,-10.337
Mariah Carey,"""Hero""",4,4OchI8Cb3bqzbZxfvc1yZl,1.0,0.851,0.474,0.377,0.12,0.0312,0.137,120.095,2.67e-05,-10.724
Wilson Phillips,"""Hold On""?Â (1990)",1,,,,,,,,,,,
Mariah Carey,"""Honey""",3,0OEElUpJ6iT8wcWEFYtG25,0.0,0.0053,0.676,0.296,0.0872,0.151,0.146,95.986,0.00742,-13.571
Michael Bolton,"""How Am I Supposed to Live Without You""",3,3jGEoJoHeFjxvMEGSiVkDE,2.0,0.415,0.606,0.493,0.15,0.0281,0.216,142.357,0.0238,-10.736
2PacÂ featuringÂ K-Ci & JoJoÂ /Â Dr. DreÂ andÂ Roger Troutman,"""How Do U Want It"" / ""California Love""",2,,,,,,,,,,,
The Heights,"""How Do You Talk To An Angel""",2,3D8Pd5EOF3NDwHI261Gvns,2.0,0.0457,0.555,0.378,0.107,0.0289,0.369,80.892,6.02e-06,-11.79
The Notorious B.I.G.,"""Hypnotize""",3,4zv3BshA0Zyz7mBLJjP6Jb,30.0,0.185,0.884,0.836,0.246,0.272,0.621,93.947,0,-2.126
Color Me Badd,"""I Adore Mi Amor""",2,7Ldgp1funUfJCZtmFr2ulM,6.0,0.243,0.683,0.476,0.0786,0.027,0.725,91.989,0,-9.995
James Ingram,"""I Don't Have the Heart""",1,3nqnMdG4rnZMVLLZ2BErId,0.0,0.556,0.311,0.398,0.38,0.0274,0.197,175.72,0.75,-8.872
Mariah Carey,"""I Don't Wanna Cry""",2,5rVqjBZRHstun53RPabn1l,0.0,0.623,0.66,0.351,0.331,0.036,0.283,127.926,0.702,-16.246
Aerosmith,"""I Don't Want To Miss A Thing""",4,6jMDb3rJYqOXXsu4G7JowJ,0.0,0.662,0.411,0.225,0.0861,0.0359,0.212,136.082,0.836,-15.643
Hi-Five,"""I Like the Way (The Kissing Game)""",1,,,,,,,,,,,
All-4-One,"""I Swear""",11,4nop7rGloXNQ7UvQdWrB1D,14.0,0.235,0.532,0.407,0.117,0.0233,0.23,83.207,0,-9.658
Whitney Houston,"""I Will Always Love You""?Â (1993)",14,,,,,,,,,,,
Meat Loaf,"""I'd Do Anything for Love (But I Won't Do That)""",5,2POz9oPDpdaGd6oHxGYNI1,0.0,0.739,0.45,0.424,0.383,0.0456,0.333,101.975,0,-12.508
Puff Daddy &Â Faith EvansÂ featuringÂ 112,"""I'll Be Missing You""",11,5zqPAiYFwHLCvpBpV2MbiD,0.0,0.00487,0.826,0.356,0.0932,0.14,0.827,109.059,0.955,-9.999
Mariah Carey,"""I'll Be There""",2,2R91S6F0yRtkQqVlfqII73,0.0,0.995,0.596,0.0377,0.114,0.0692,0.299,77.977,0.97,-30.186
Tommy Page,"""I'll Be Your Everything""",1,7khHEG5EUBJFLhiYYkJ6S2,0.0,0.28,0.621,0.333,0.329,0.0272,0.153,144.021,0.616,-12.602
Boyz II Men,"""I'll Make Love To You""",14,2KViV34ddPrEEaY0gwzGPJ,16.0,0.116,0.563,0.484,0.0923,0.0234,0.27,142.65,0,-8.39
Right Said Fred,"""I'm Too Sexy""",3,3lTqmZ8DOOHFuVzI0HIBW8,10.0,0.0102,0.579,0.983,0.315,0.0488,0.919,128.015,0.0307,-5.496
R. KellyÂ & CÃ©line Dion,"""I'm Your Angel""",6,60O6EeffPuqKULoa4Bf4IK,0.0,0.532,0.604,0.447,0.113,0.0253,0.345,112.744,0.00152,-11.902
Whitney Houston,"""I'm Your Baby Tonight""",1,6K72MqCTSQTb1I6spurCTB,27.0,0.628,0.45,0.448,0.199,0.0301,0.225,119.824,7.99e-06,-9.613
Londonbeat,"""I've Been Thinking About You""",1,61iLmL4GJOLEGmn2X6PeFT,1.0,0.208,0.71,0.847,0.278,0.103,0.652,129.016,0.000112,-5.147
Vanilla Ice,"""Ice Ice Baby""",1,7b4bpO5SuuJURpNRxpdR2Q,27.0,0.0025,0.979,0.792,0.102,0.0388,0.583,116.012,7.71e-06,-2.784
Sweet Sensation,"""If Wishes Came True""",1,51RzmkkmUrwP1q15XJCjhO,0.0,0.236,0.511,0.523,0.0631,0.0278,0.106,139.983,0.797,-6.795
Jennifer Lopez,"""If You Had My Love""",5,03plZoviDLnJ7inkHF5SyZ,0.0,0.00957,0.65,0.694,0.557,0.0836,0.968,122.987,0.00013,-13.219
Snow,"""Informer""",7,6l98Czsvo6Qk5wUsJFwhzD,12.0,0.00133,0.701,0.944,0.621,0.0706,0.755,120.023,0.00176,-3.429
Roxette,"""It Must Have Been Love""",2,1ov44mbpxRbqTBX1IUI0U5,28.0,0.34,0.52,0.652,0.256,0.0274,0.722,80.609,5.49e-05,-6.655
Roxette,"""Joyride""",1,1VXThXSlJDfst2CkNxvAz9,19.0,0.0915,0.482,0.695,0.291,0.0462,0.457,172.583,0.000168,-5.927
Kris Kross,"""Jump""",8,1hGNwGzU7mnCpJOI6rc8Sb,14.0,0.00896,0.854,0.65,0.0616,0.264,0.427,102.13,0.000434,-10.578
Madonna,"""Justify My Love""",2,3eGHAOAUb0Vbf3E9KtiQ4M,0.0,0.0125,0.716,0.421,0.116,0.049,0.481,98.906,0.752,-17.281
Seal,"""Kiss From A Rose""",1,6wyvQ4AAE1agD7Zv6GZzFG,22.0,0.0939,0.693,0.863,0.0978,0.026,0.69,128.099,0.00174,-7.935
Divine,"""Lately""",1,1sBtkV2cmwzhVJ4QdoaAHX,0.0,0.158,0.615,0.412,0.102,0.0342,0.282,120.989,0.875,-9.818
Ricky Martin,"""Livin' La Vida Loca""",5,3OxPSUPueURn0PMn6RRblv,26.0,0.212,0.664,0.923,0.813,0.0625,0.74,106.078,0,-6.036
Mariah Carey,"""Love Takes Time""",3,3CO96gBERJVwipFCKAVcTa,0.0,0.222,0.729,0.131,0.114,0.0542,0.251,126.197,0.582,-17.587
Taylor Dayne,"""Love Will Lead You Back""",1,5hhuV6gs7oFYBvnv0vGg8f,0.0,0.118,0.505,0.518,0.182,0.0277,0.11,146.4,0,-5.746
Janet Jackson,"""Love Will Never Do (Without You)""",1,0OTSSr2yKccIbDZmrSHqMO,1.0,0.685,0.68,0.528,0.103,0.0278,0.745,100.726,0.0197,-9.84
Hanson,"""MMMBop""",3,4XR0FABfZuBqowXzlIjJ3x,25.0,0.0831,0.43,0.75,0.114,0.0441,0.382,139.797,0.000139,-5.788
Los Del Rio,"""Macarena (Bayside Boys Mix)""?Â (1996)",14,,,,,,,,,,,
The Notorious B.I.G. featuring Puff Daddy & Mase,"""Mo Money Mo Problems""",2,,,,,,,,,,,
Extreme,"""More Than Words""",1,2O0M4EzOubpFMzd2EzcjgN,19.0,0.493,0.62,0.246,0.113,0.0274,0.243,91.319,0,-8.549
Mariah Carey,"""My All""",1,4gCmhPJ9DpkZwzPPwnxjl2,26.0,0.189,0.337,0.57,0.981,0.0474,0.41,108.047,1.27e-05,-8.735
CÃ©line Dion,"""My Heart Will Go On""",2,,,,,,,,,,,
Usher,"""Nice And Slow""",2,6U1ep4VlyBcGJ8WMFuUNbP,0.0,0.547,0.747,0.268,0.365,0.0315,0.534,122.014,0.922,-14.191
BlackstreetÂ featuring Dr. Dre,"""No Diggity""",4,,,,,,,,,,,
TLC,"""No Scrubs""",4,6UpU0pGSBwmf0IzNnCpQnA,29.0,0.327,0.665,0.544,0.0771,0.048,0.571,91.0,0.322,-10.808
